Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,GO Cellular Component,GO Molecular Function,GO Biological Process,Kinase Classification
XO44 / control,Q9NWZ3,Q9NWZ3,7.97136678391846,7.97136678391846,0.00021295481937761,6.75636006647956E-06,12,Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4,IRAK4_HUMAN,14,24996.9247444032,250.969247444032,XO44,"extracellular space,nucleus,cytoplasm,cytosol,plasma membrane,endosome membrane","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,interleukin-1 receptor binding,protein binding,ATP binding","cytokine production,toll-like receptor signaling pathway,neutrophil mediated immunity,MyD88-dependent toll-like receptor signaling pathway,JNK cascade,toll-like receptor 9 signaling pathway,positive regulation of I-kappaB kinase/NF-kappaB signaling,innate immune response,positive regulation of smooth muscle cell proliferation,positive regulation of NF-kappaB transcription factor activity,interleukin-1-mediated signaling pathway,neutrophil migration,cytokine-mediated signaling pathway,intracellular signal transduction",TKL
XO44 / control,P53671,P53671,8.31547114054531,8.31547114054531,1.99138902563405E-05,1.00048779055925E-06,12,P53671,LIMK2,LIM domain kinase 2,LIMK2_HUMAN,9,31757.1001908274,318.571001908274,XO44,"nucleus,cytoplasm,cis-Golgi network","protein serine/threonine kinase activity,signal transducer activity,protein binding,ATP binding,metal ion binding,protein heterodimerization activity","protein phosphorylation,spermatogenesis,phosphorylation,intracellular signal transduction,head development,cornea development in camera-type eye",TKL
XO44 / control,P51617,P51617,8.98998159641031,8.98998159641031,3.8250009531974E-05,1.61116327657373E-06,12,P51617,IRAK1,Interleukin-1 receptor-associated kinase 1,IRAK1_HUMAN,15,50745.6871545037,508.456871545037,XO44,"nucleus,cytoplasm,lipid particle,cytosol,plasma membrane,endosome membrane,interleukin-1 receptor complex","protein kinase activity,protein serine/threonine kinase activity,NF-kappaB-inducing kinase activity,protein binding,ATP binding,kinase activity,heat shock protein binding,protein homodimerization activity,protein heterodimerization activity","activation of MAPK activity,regulation of cytokine-mediated signaling pathway,toll-like receptor signaling pathway,MyD88-dependent toll-like receptor signaling pathway,protein phosphorylation,signal transduction,transmembrane receptor protein serine/threonine kinase signaling pathway,activation of NF-kappaB-inducing kinase activity,JNK cascade,aging,viral process,lipopolysaccharide-mediated signaling pathway,negative regulation of NF-kappaB transcription factor activity,positive regulation of type I interferon production,response to lipopolysaccharide,toll-like receptor 2 signaling pathway,toll-like receptor 4 signaling pathway,toll-like receptor 9 signaling pathway,cellular response to heat,negative regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of MAP kinase activity,positive regulation of transcription, DNA-templated,protein autophosphorylation,positive regulation of smooth muscle cell proliferation,positive regulation of NF-kappaB transcription factor activity,protein oligomerization,type I interferon signaling pathway,nucleotide-binding oligomerization domain containing signaling pathway,interleukin-1-mediated signaling pathway,response to interleukin-1,cellular response to hypoxia,intracellular signal transduction,cytokine-mediated signaling pathway",TKL
XO44 / control,Q13546,Q13546,7.09354999722788,7.09354999722788,0.000596007485307141,1.71769711733214E-05,12,Q13546,RIPK1,Receptor-interacting serine/threonine-protein kinase 1,RIPK1_HUMAN,12,13557.5036391469,136.575036391469,XO44,"mitochondrion,cytosol,endosome membrane,death-inducing signaling complex,receptor complex,membrane raft,ripoptosome","protein kinase activity,protein serine/threonine kinase activity,signal transducer activity,death receptor binding,protein binding,ATP binding,ubiquitin protein ligase binding,identical protein binding,macromolecular complex binding,death domain binding","positive regulation of protein phosphorylation,MyD88-independent toll-like receptor signaling pathway,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,I-kappaB kinase/NF-kappaB signaling,activation of JUN kinase activity,regulation of tumor necrosis factor-mediated signaling pathway,positive regulation of necrotic cell death,viral process,protein deubiquitination,positive regulation of interleukin-8 production,positive regulation of tumor necrosis factor production,tumor necrosis factor-mediated signaling pathway,toll-like receptor 3 signaling pathway,response to tumor necrosis factor,TRIF-dependent toll-like receptor signaling pathway,peptidyl-serine autophosphorylation,positive regulation of apoptotic process,positive regulation of programmed cell death,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,cellular protein catabolic process,positive regulation of macrophage differentiation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of JNK cascade,protein autophosphorylation,positive regulation of NF-kappaB transcription factor activity,protein homooligomerization,protein heterooligomerization,regulation of necroptotic process,positive regulation of necroptotic process,T cell apoptotic process,necroptotic process,regulation of ATP:ADP antiporter activity,cellular response to tumor necrosis factor,cellular response to growth factor stimulus,death-inducing signaling complex assembly,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,ripoptosome assembly,necroptotic signaling pathway,ripoptosome assembly involved in necroptotic process,regulation of extrinsic apoptotic signaling pathway via death domain receptors,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,positive regulation of hydrogen peroxide-induced cell death,amyloid fibril formation,positive regulation of reactive oxygen species metabolic process,negative regulation of extrinsic apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand",TKL
XO44 / control,Q8IVT5,Q8IVT5,7.82380857020479,7.82380857020479,0.000374279189630331,1.12016400671469E-05,12,Q8IVT5,KSR1,Kinase suppressor of Ras 1,KSR1_HUMAN,17,22556.9298478926,226.569298478926,XO44,"endoplasmic reticulum,endoplasmic reticulum membrane,cytosol,membrane,ruffle membrane","protein kinase activity,signal transducer activity,MAP-kinase scaffold activity,protein binding,ATP binding,protein C-terminus binding,mitogen-activated protein kinase kinase binding,metal ion binding,chaperone binding,Hsp90 protein binding,14-3-3 protein binding","MAPK cascade,protein phosphorylation,Ras protein signal transduction,cAMP-mediated signaling,positive regulation of MAPK cascade",TKL
XO44 / control,Q13418,Q13418,7.73791118829455,7.73791118829455,6.31261625266952E-06,4.7992605682547E-07,12,Q13418,ILK,Integrin-linked protein kinase,ILK_HUMAN,21,21247.3205493134,213.473205493134,XO44,"nucleoplasm,cytoplasm,cytosol,plasma membrane,cell-cell junction,focal adhesion,membrane,sarcomere,lamellipodium,cell junction,neuronal cell body,costamere,terminal bouton,dendritic shaft,stress fiber","protein serine/threonine kinase activity,signal transducer activity,integrin binding,protein binding,ATP binding,SH3 domain binding,protein kinase binding","MAPK cascade,branching involved in ureteric bud morphogenesis,positive regulation of protein phosphorylation,positive regulation of cell-matrix adhesion,outflow tract morphogenesis,protein phosphorylation,negative regulation of protein kinase activity,cell cycle arrest,cell-matrix adhesion,integrin-mediated signaling pathway,multicellular organism development,cell aging,cell proliferation,positive regulation of cell proliferation,positive regulation of signal transduction,negative regulation of cardiac muscle cell apoptotic process,fibroblast migration,negative regulation of smooth muscle cell migration,peptidyl-serine phosphorylation,nerve development,myelination in peripheral nervous system,positive regulation of cell migration,positive regulation of BMP signaling pathway,myelin assembly,regulation of actin cytoskeleton organization,tumor necrosis factor-mediated signaling pathway,cell junction assembly,substrate adhesion-dependent cell spreading,positive regulation of phosphorylation,positive regulation of MAP kinase activity,protein kinase B signaling,negative regulation of neuron apoptotic process,establishment or maintenance of epithelial cell apical/basal polarity,positive regulation of myoblast differentiation,positive regulation of osteoblast differentiation,positive regulation of axon extension,positive regulation of transcription, DNA-templated,negative regulation of smooth muscle cell proliferation,neuron projection morphogenesis,positive regulation of dendrite morphogenesis,protein heterooligomerization,positive regulation of protein kinase B signaling,platelet aggregation,positive regulation of canonical Wnt signaling pathway,fibril organization,positive regulation of NIK/NF-kappaB signaling,negative regulation of neural precursor cell proliferation",TKL
XO44 / control,Q53R41,Q53R41,7.2585053019566,7.2585053019566,2.28268133362787E-06,2.34225792903539E-07,12,Q53R41,FASTKD1,"FAST kinase domain-containing protein 1, mitochondrial",FAKD1_HUMAN,16,15211.8554159894,153.118554159894,XO44,mitochondrion,"RNA binding,protein kinase activity","mitochondrial RNA metabolic process,protein phosphorylation,regulation of mitochondrial mRNA stability,cellular respiration",not in kinbase
XO44 / control,Q9NYY8,Q9NYY8,8.41576136643142,8.41576136643142,5.22989815285442E-06,4.26112354824476E-07,12,Q9NYY8,FASTKD2,"FAST kinase domain-containing protein 2, mitochondrial",FAKD2_HUMAN,18,34050.4639102882,341.504639102882,XO44,"nucleus,mitochondrion,ribonucleoprotein granule,mitochondrial nucleoid,intercellular bridge","RNA binding,protein kinase activity,rRNA binding","protein phosphorylation,cellular respiration,mitochondrial large ribosomal subunit assembly",not in kinbase
XO44 / control,Q7L8L6,Q7L8L6,8.36383200737688,8.36383200737688,3.2635274862861E-06,3.07967559659894E-07,12,Q7L8L6,FASTKD5,"FAST kinase domain-containing protein 5, mitochondrial",FAKD5_HUMAN,17,32843.0884953143,329.430884953143,XO44,"mitochondrion,ribonucleoprotein granule,mitochondrial nucleoid","RNA binding,protein kinase activity,protein binding,rRNA binding","mitochondrial RNA processing,mRNA processing,protein phosphorylation,cellular respiration",not in kinbase
XO44 / control,O75191,O75191,10.9360308405576,10.9360308405576,5.44652841767111E-06,4.37269833255891E-07,11,O75191,XYLB,Xylulose kinase,XYLB_HUMAN,3,195817.538870605,1959.17538870605,XO44,"cytoplasm,cytosol,extracellular exosome","xylulokinase activity,ATP binding,phosphotransferase activity, alcohol group as acceptor","carbohydrate metabolic process,xylulose metabolic process,xylulose catabolic process,generation of precursor metabolites and energy,glucuronate catabolic process to xylulose 5-phosphate,D-xylose metabolic process,carbohydrate phosphorylation,phosphorylation",
XO44 / control,Q5VZ66,Q5VZ66,9.58642312582994,9.58642312582994,0.0570064064324896,0.00140774725917436,6,Q5VZ66,JAKMIP3,Janus kinase and microtubule-interacting protein 3,JKIP3_HUMAN,2,76777.7938576194,768.777938576194,XO44,Golgi apparatus,"microtubule binding,kinase binding",,
XO44 / control,Q70UQ0,Q70UQ0,9.58332462236047,9.58332462236047,7.35039917451401E-05,2.717285455124E-06,12,Q70UQ0,IKBIP,Inhibitor of nuclear factor kappa-B kinase-interacting protein,IKIP_HUMAN,11,76612.8591434967,767.128591434966,XO44,"endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",protein binding,response to X-ray,
XO44 / control,Q14CZ7,Q14CZ7,9.3561010586595,9.3561010586595,1.83606853023177E-05,9.48096680145164E-07,12,Q14CZ7,FASTKD3,"FAST kinase domain-containing protein 3, mitochondrial",FAKD3_HUMAN,7,65434.0579921447,655.340579921447,XO44,"nucleus,mitochondrion","RNA binding,protein kinase activity,protein binding","protein phosphorylation,mitochondrial respiratory chain complex IV assembly,regulation of mitochondrial mRNA stability,cellular respiration,positive regulation of mitochondrial translation",
XO44 / control,Q13309,Q13309,9.20792335588054,9.20792335588054,4.83026203262315E-05,1.93777635359637E-06,12,Q13309,SKP2,S-phase kinase-associated protein 2,SKP2_HUMAN,9,59037.25038051,591.3725038051,XO44,"nucleus,nucleoplasm,nucleolus,cytosol,SCF ubiquitin ligase complex","ubiquitin-protein transferase activity,protein binding,identical protein binding,ubiquitin protein ligase activity","G1/S transition of mitotic cell cycle,G2/M transition of mitotic cell cycle,protein polyubiquitination,cell proliferation,protein deubiquitination,anaphase-promoting complex-dependent catabolic process,positive regulation of intracellular estrogen receptor signaling pathway,regulation of apoptotic process,post-translational protein modification,positive regulation of smooth muscle cell proliferation,regulation of cell cycle,cellular response to cell-matrix adhesion,positive regulation of protein polyubiquitination",
XO44 / control,O95544,O95544,8.99734148006891,8.99734148006891,1.09092434587712E-05,6.78062343836999E-07,11,O95544,NADK,NAD kinase,NADK_HUMAN,8,51005.7383023894,511.057383023894,XO44,cytosol,"NAD+ kinase activity,protein binding,ATP binding,metal ion binding","NADP biosynthetic process,phosphorylation,NAD metabolic process,ATP metabolic process",
XO44 / control,Q12929,Q12929,8.99494430655413,8.99494430655413,1.70383368734772E-05,9.04634665190635E-07,12,Q12929,EPS8,Epidermal growth factor receptor kinase substrate 8,EPS8_HUMAN,24,50920.8918207627,510.208918207627,XO44,"brush border,cell cortex,postsynaptic density,NMDA selective glutamate receptor complex,cell junction,growth cone,vesicle,stereocilium,stereocilium tip,ruffle membrane,extracellular exosome,plasma membrane","actin binding,SH3/SH2 adaptor activity,protein binding,Rac GTPase binding,Rac guanyl-nucleotide exchange factor activity","signal transduction,epidermal growth factor receptor signaling pathway,cell proliferation,adult locomotory behavior,regulation of cell shape,positive regulation of signal transduction,exit from mitosis,Rac protein signal transduction,regulation of actin filament length,actin cytoskeleton reorganization,dendritic cell migration,behavioral response to ethanol,barbed-end actin filament capping,actin filament bundle assembly,actin crosslink formation,actin polymerization-dependent cell motility,cellular response to leukemia inhibitory factor,Rho protein signal transduction,regulation of actin filament polymerization,positive regulation of ruffle assembly,regulation of Rho protein signal transduction",
XO44 / control,P27144,P27144,8.93736989883001,8.93736989883001,1.62393233388173E-06,1.78331195647238E-07,12,P27144,AK4,"Adenylate kinase 4, mitochondrial",KAD4_HUMAN,13,48924.8667462548,490.248667462548,XO44,"mitochondrion,mitochondrial matrix,extracellular exosome","adenylate kinase activity,nucleoside diphosphate kinase activity,ATP binding,GTP binding,nucleoside triphosphate adenylate kinase activity,nucleoside phosphate kinase activity","liver development,nucleoside diphosphate phosphorylation,brain development,nucleoside triphosphate biosynthetic process,nucleobase-containing small molecule interconversion,response to drug,AMP metabolic process,ATP metabolic process,GTP metabolic process,nucleoside monophosphate phosphorylation",
XO44 / control,Q70IA6,Q70IA6,8.93352035167307,8.93352035167307,4.99443422679449E-06,4.12846377618093E-07,12,Q70IA6,MOB2,MOB kinase activator 2,MOB2_HUMAN,7,48794.2279285615,488.942279285615,XO44,"nucleus,nucleolus,cytosol,neuron projection terminus,perinuclear region of cytoplasm","protein binding,metal ion binding","positive regulation of protein phosphorylation,positive regulation of neuron projection development,actin cytoskeleton organization",
XO44 / control,Q15126,Q15126,8.93185975918667,8.93185975918667,5.89758087445096E-05,2.26868314335358E-06,12,Q15126,PMVK,Phosphomevalonate kinase,PMVK_HUMAN,13,48737.9813380247,488.379813380247,XO44,"peroxisome,cytosol,membrane,extracellular exosome","phosphomevalonate kinase activity,ATP binding","cholesterol biosynthetic process,sterol biosynthetic process,phosphorylation,isopentenyl diphosphate biosynthetic process, mevalonate pathway,regulation of cholesterol biosynthetic process,response to cholesterol",
XO44 / control,P31323,P31323,8.87102135573633,8.87102135573633,9.88693874432038E-05,3.48187179534934E-06,12,P31323,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,KAP3_HUMAN,15,46721.3056575281,468.213056575281,XO44,"cytoplasm,mitochondrial inner membrane,centrosome,cytosol,plasma membrane,cAMP-dependent protein kinase complex,neuronal cell body,dendritic spine,dendritic shaft,membrane raft,perinuclear region of cytoplasm,extracellular exosome,ciliary base","cAMP-dependent protein kinase inhibitor activity,protein binding,cAMP-dependent protein kinase regulator activity,protein domain specific binding,cAMP binding,ubiquitin protein ligase binding,protein kinase A catalytic subunit binding","G2/M transition of mitotic cell cycle,renal water homeostasis,fatty acid metabolic process,blood coagulation,learning,regulation of G2/M transition of mitotic cell cycle,activation of protein kinase A activity,intracellular signal transduction,cellular response to glucagon stimulus,response to clozapine,ciliary basal body docking,negative regulation of cAMP-dependent protein kinase activity",
XO44 / control,Q9BZX2,Q9BZX2,8.84412543227793,8.84412543227793,0.000236476271065655,7.42058711959799E-06,12,Q9BZX2,UCK2,Uridine-cytidine kinase 2,UCK2_HUMAN,7,45856.5100186941,459.565100186941,XO44,"cellular_component,cytosol","uridine kinase activity,ATP binding,nucleoside kinase activity","pyrimidine nucleobase metabolic process,CMP salvage,phosphorylation,pyrimidine nucleoside salvage,UMP salvage,CTP salvage",
XO44 / control,Q5SY16,Q5SY16,8.84093785904421,8.84093785904421,1.18543916114288E-05,7.13891126046879E-07,12,Q5SY16,NOL9,Polynucleotide 5'-hydroxyl-kinase NOL9,NOL9_HUMAN,19,45755.0831579904,458.550831579904,XO44,"nucleoplasm,nucleolus,membrane,intermediate filament cytoskeleton,nucleus","RNA binding,protein binding,ATP binding,polynucleotide 5'-hydroxyl-kinase activity","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),maturation of 5.8S rRNA,rRNA processing,phosphorylation,RNA processing",
XO44 / control,P46019,P46019,8.82137897159272,8.82137897159272,7.22627794148462E-06,5.2168073681451E-07,12,P46019,PHKA2,"Phosphorylase b kinase regulatory subunit alpha, liver isoform",KPB2_HUMAN,23,45137.6122310463,452.376122310463,XO44,"cytosol,plasma membrane,phosphorylase kinase complex","phosphorylase kinase activity,protein binding,calmodulin binding","carbohydrate metabolic process,glycogen catabolic process,generation of precursor metabolites and energy,cellular protein modification process,protein phosphorylation",
XO44 / control,P51570,P51570,8.80742474133319,8.80742474133319,3.44344511709304E-05,1.4850842946665E-06,12,P51570,GALK1,Galactokinase,GALK1_HUMAN,18,44702.1681499877,448.021681499877,XO44,"cytoplasm,cytosol,membrane,extracellular exosome","galactokinase activity,ATP binding,galactose binding","galactose metabolic process,galactose catabolic process,galactitol metabolic process,carbohydrate phosphorylation,glycolytic process from galactose",
XO44 / control,P17858,P17858,8.76834727594081,8.76834727594081,5.46180890889438E-06,4.37865662281643E-07,12,P17858,PFKL,"ATP-dependent 6-phosphofructokinase, liver type",PFKAL_HUMAN,28,43504.9248606202,436.049248606202,XO44,"extracellular region,cytosol,6-phosphofructokinase complex,membrane,secretory granule lumen,extracellular exosome,ficolin-1-rich granule lumen","6-phosphofructokinase activity,protein binding,ATP binding,kinase binding,identical protein binding,metal ion binding,fructose binding,fructose-6-phosphate binding","fructose 6-phosphate metabolic process,glycolytic process,response to glucose,fructose 1,6-bisphosphate metabolic process,neutrophil degranulation,negative regulation of insulin secretion,protein oligomerization,protein homotetramerization,canonical glycolysis",
XO44 / control,Q4G0N4,Q4G0N4,8.7280465036844,8.7280465036844,1.90116397309897E-06,2.02837940624314E-07,12,Q4G0N4,NADK2,"NAD kinase 2, mitochondrial",NAKD2_HUMAN,25,42303.7046749796,424.037046749796,XO44,"mitochondrion,mitochondrial matrix","NAD+ kinase activity,ATP binding,protein homodimerization activity","NADP biosynthetic process,phosphorylation,NAD metabolic process",
XO44 / control,Q92989,Q92989,8.68035732881527,8.68035732881527,3.73710106327095E-06,3.38717197271045E-07,12,Q92989,CLP1,Polyribonucleotide 5'-hydroxyl-kinase Clp1,CLP1_HUMAN,12,40924.9375908059,410.249375908059,XO44,"tRNA-intron endonuclease complex,nucleus,nucleoplasm,cytosol,mRNA cleavage factor complex","ATP binding,ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity,polydeoxyribonucleotide kinase activity,ATP-dependent polyribonucleotide 5'-hydroxyl-kinase activity,polynucleotide 5'-hydroxyl-kinase activity","mRNA splicing, via spliceosome,termination of RNA polymerase II transcription,mRNA polyadenylation,mRNA cleavage,tRNA splicing, via endonucleolytic cleavage and ligation,phosphorylation,cerebellar cortex development,targeting of mRNA for destruction involved in RNA interference,mRNA 3'-end processing,siRNA loading onto RISC involved in RNA interference,RNA processing",
XO44 / control,Q8NEB9,Q8NEB9,8.65965319048283,8.65965319048283,9.7334743251239E-05,3.4340812948832E-06,12,Q8NEB9,PIK3C3,Phosphatidylinositol 3-kinase catalytic subunit type 3,PK3C3_HUMAN,19,40340.3925313009,404.403925313009,XO44,"pre-autophagosomal structure,late endosome,peroxisome,cytosol,axoneme,membrane,midbody,phagocytic vesicle membrane,phosphatidylinositol 3-kinase complex, class III, type I,phosphatidylinositol 3-kinase complex, class III, type II,phosphatidylinositol 3-kinase complex, class III,autolysosome,endosome,cytoplasm","protein kinase activity,protein binding,ATP binding,kinase activity,1-phosphatidylinositol-3-kinase activity,phosphatidylinositol kinase activity","autophagosome assembly,protein phosphorylation,protein lipidation,phosphatidylinositol biosynthetic process,endocytosis,autophagy,endosome organization,cell cycle,macroautophagy,protein processing,pexophagy,regulation of cytokinesis,toll-like receptor 9 signaling pathway,protein localization to pre-autophagosomal structure,phosphatidylinositol-3-phosphate biosynthetic process,cellular response to glucose starvation,response to leucine,early endosome to late endosome transport,phosphatidylinositol phosphorylation,phosphatidylinositol-mediated signaling,regulation of protein secretion,cell division",
XO44 / control,Q8N5C8,Q8N5C8,8.63307532408863,8.63307532408863,1.67414551812858E-05,8.93002069887375E-07,11,Q8N5C8,TAB3,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3,TAB3_HUMAN,7,39602.2049899611,397.022049899611,XO44,"cytosol,plasma membrane,endosome membrane,extracellular exosome","protein binding,metal ion binding","activation of MAPK activity,stimulatory C-type lectin receptor signaling pathway,MyD88-dependent toll-like receptor signaling pathway,I-kappaB kinase/NF-kappaB signaling,JNK cascade,negative regulation of autophagy,Fc-epsilon receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,nucleotide-binding oligomerization domain containing signaling pathway,interleukin-1-mediated signaling pathway",
XO44 / control,Q9UBF8,Q9UBF8,8.62604441309151,8.62604441309151,0.000148752001480221,4.94404451937737E-06,12,Q9UBF8,PI4KB,Phosphatidylinositol 4-kinase beta,PI4KB_HUMAN,24,39409.1887456231,395.091887456231,XO44,"Golgi membrane,cytoplasm,mitochondrial outer membrane,endosome,cytosol,membrane,rough endoplasmic reticulum membrane,perinuclear region of cytoplasm","1-phosphatidylinositol 4-kinase activity,protein binding,ATP binding,14-3-3 protein binding,phosphatidylinositol kinase activity","phosphatidylinositol biosynthetic process,receptor-mediated endocytosis,signal transduction,phosphatidylinositol phosphorylation,phosphatidylinositol-mediated signaling",
XO44 / control,P13861,P13861,8.58379794553529,8.58379794553529,3.86072510161981E-06,3.46637917774092E-07,12,P13861,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit,KAP2_HUMAN,17,38269.0157143485,383.690157143485,XO44,"cytoplasm,centrosome,cytosol,plasma membrane,focal adhesion,cAMP-dependent protein kinase complex,membrane,nucleotide-activated protein kinase complex,macromolecular complex,plasma membrane raft,extracellular exosome,ciliary base,axoneme","cAMP-dependent protein kinase inhibitor activity,protein binding,cAMP-dependent protein kinase regulator activity,protein domain specific binding,cAMP binding,ubiquitin protein ligase binding,protein kinase A catalytic subunit binding","renal water homeostasis,blood coagulation,activation of protein kinase A activity,intracellular signal transduction,cellular response to glucagon stimulus,negative regulation of cAMP-dependent protein kinase activity",
XO44 / control,P51948,P51948,8.58317793660247,8.58317793660247,4.94126611521264E-05,1.97295262407116E-06,12,P51948,MNAT1,CDK-activating kinase assembly factor MAT1,MAT1_HUMAN,9,38252.529886945,383.52529886945,XO44,"nucleoplasm,holo TFIIH complex,cytosol","protein binding,zinc ion binding,protein N-terminus binding,cyclin-dependent protein serine/threonine kinase activator activity,DNA-dependent ATPase activity,RNA polymerase II carboxy-terminal domain kinase activity","regulation of cyclin-dependent protein serine/threonine kinase activity,G1/S transition of mitotic cell cycle,G2/M transition of mitotic cell cycle,DNA repair,transcription-coupled nucleotide-excision repair,nucleotide-excision repair, preincision complex assembly,regulation of transcription from RNA polymerase II promoter,transcription initiation from RNA polymerase I promoter,transcription elongation from RNA polymerase I promoter,termination of RNA polymerase I transcription,transcription from RNA polymerase II promoter,transcription initiation from RNA polymerase II promoter,transcription elongation from RNA polymerase II promoter,7-methylguanosine mRNA capping,protein phosphorylation,adult heart development,cell proliferation,ventricular system development,negative regulation of apoptotic process,positive regulation of cyclin-dependent protein serine/threonine kinase activity,positive regulation of transcription from RNA polymerase II promoter,positive regulation of smooth muscle cell proliferation,response to calcium ion,macromolecular complex assembly",
XO44 / control,P08237,P08237,8.58265852931913,8.58265852931913,5.26350824887812E-06,4.28060886207996E-07,12,P08237,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type",PFKAM_HUMAN,28,38238.7244760557,383.387244760557,XO44,"nucleus,cytosol,6-phosphofructokinase complex,apical plasma membrane,extracellular exosome,sperm principal piece","6-phosphofructokinase activity,protein binding,ATP binding,protein C-terminus binding,kinase binding,identical protein binding,protein homodimerization activity,metal ion binding,fructose binding","glycogen catabolic process,fructose 6-phosphate metabolic process,glycolytic process,positive regulation of insulin secretion,glucose homeostasis,positive regulation of transcription from RNA polymerase II promoter,muscle cell cellular homeostasis,carbohydrate phosphorylation,protein oligomerization,glycolytic process through fructose-6-phosphate,canonical glycolysis,glycolysis from storage polysaccharide through glucose-1-phosphate",
XO44 / control,Q9BZ23,Q9BZ23,8.58151617657875,8.58151617657875,0.000120571408059063,4.12467895738138E-06,12,Q9BZ23,PANK2,"Pantothenate kinase 2, mitochondrial",PANK2_HUMAN,14,38208.3791772075,383.083791772075,XO44,"mitochondrion,mitochondrial intermembrane space,cytosol","pantothenate kinase activity,protein binding,ATP binding","spermatid development,aerobic respiration,coenzyme biosynthetic process,coenzyme A biosynthetic process,pantothenate metabolic process,phosphorylation,regulation of fatty acid metabolic process,regulation of mitochondrial membrane potential,mitochondrion morphogenesis,regulation of triglyceride metabolic process,regulation of bile acid metabolic process",
XO44 / control,Q9H999,Q9H999,8.54995606595049,8.54995606595049,9.37003905651866E-05,3.3271898660326E-06,11,Q9H999,PANK3,Pantothenate kinase 3,PANK3_HUMAN,2,37379.4524459636,374.794524459636,XO44,cytoplasm,"pantothenate kinase activity,ATP binding","coenzyme A biosynthetic process,phosphorylation",
XO44 / control,P23919,P23919,8.47342997779208,8.47342997779208,1.01050038041809E-06,1.18955541091055E-07,12,P23919,DTYMK,Thymidylate kinase,KTHY_HUMAN,19,35443.2052504142,355.432052504142,XO44,"cytoplasm,mitochondrial intermembrane space,mitochondrial matrix,cytosol,mitochondrion,nucleus","thymidylate kinase activity,ATP binding,uridylate kinase activity,nucleoside phosphate kinase activity","dUDP biosynthetic process,dTDP biosynthetic process,dTTP biosynthetic process,cell proliferation,nucleobase-containing small molecule interconversion,response to estrogen,myoblast differentiation,response to cadmium ion,nucleotide phosphorylation,nucleoside monophosphate phosphorylation,cellular response to growth factor stimulus",
XO44 / control,Q13572,Q13572,8.47067657042908,8.47067657042908,0.000223625116622939,7.05705739411551E-06,12,Q13572,ITPK1,Inositol-tetrakisphosphate 1-kinase,ITPK1_HUMAN,10,35375.4351456864,354.754351456864,XO44,"cytosol,apical plasma membrane,cytoplasm","magnesium ion binding,catalytic activity,ATP binding,isomerase activity,inositol tetrakisphosphate 1-kinase activity,inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity,inositol-1,3,4-trisphosphate 6-kinase activity,inositol-1,3,4-trisphosphate 5-kinase activity,inositol-1,3,4,5,6-pentakisphosphate 1-phosphatase activity,inositol-1,3,4,6-tetrakisphosphate 6-phosphatase activity,inositol-1,3,4,6-tetrakisphosphate 1-phosphatase activity,inositol-3,4,6-trisphosphate 1-kinase activity","signal transduction,blood coagulation,phosphorylation,dephosphorylation,neural tube development,inositol trisphosphate metabolic process,inositol phosphate metabolic process,inositol phosphorylation",
XO44 / control,P46020,P46020,8.46583669470812,8.46583669470812,1.10932410670195E-05,6.84753239323497E-07,12,P46020,PHKA1,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",KPB1_HUMAN,27,35256.6234670178,353.566234670178,XO44,"cytosol,plasma membrane,phosphorylase kinase complex","phosphorylase kinase activity,calmodulin binding","glycogen metabolic process,glycogen catabolic process,generation of precursor metabolites and energy,protein phosphorylation",
